Entity,Code,Year,Annual CO₂ emissions,Annual CO₂ emissions
Africa,,1923,0.7869657589624937,29044528
Africa,,1924,0.8272450426465044,30631040
Africa,,1925,0.8604043955002586,32184576
Africa,,1926,0.9364732098955145,34437936
Africa,,1927,0.8432879796908742,33840704
Africa,,1928,0.8700602416559996,34770320
Africa,,1929,0.8348845919878245,35801616
Africa,,1930,0.8513100962770054,33695670
Africa,,1931,0.8324680669358312,29463712
Africa,,1932,0.8338915846233229,26622752
Africa,,1933,0.847273692599184,28491132
Africa,,1934,0.8899785297036708,32539280
Africa,,1935,0.9361823530436829,35909544
Africa,,1936,0.927200397702369,39015950
Africa,,1937,0.9305517674695446,41844264
Africa,,1938,1.0405939854119675,44013164
Africa,,1939,1.048132413386336,46852930
Africa,,1940,1.016429975582322,49649184
Africa,,1941,1.0806651820581183,54023456
Africa,,1942,1.1805841123686538,58822884
Africa,,1943,1.1845594673516189,60119628
Africa,,1944,1.2907134602942325,66632910
Africa,,1945,1.5743123630493292,67527180
Africa,,1946,1.4789774047398905,68159370
Africa,,1947,1.3152379569364956,67934744
Africa,,1948,1.3167153907129663,71733140
Africa,,1949,1.485837991260574,77323530
Africa,,1950,1.5997318367302955,94868000
Africa,,1951,1.5846806986430848,101125270
Africa,,1952,1.7058505550341865,110325210
Africa,,1953,1.6840917069641683,112007010
Africa,,1954,1.7311381971224356,117536136
Africa,,1955,1.738370645162999,129402500
Africa,,1956,1.7045930008778727,135106260
Africa,,1957,1.7297735538455794,141593120
Africa,,1958,1.7662779424224497,148670930
Africa,,1959,1.6696379331931188,147841250
Africa,,1960,1.6679133827530401,156567200
Africa,,1961,1.720590691460668,161994340
Africa,,1962,1.7064738729117308,166334910
Africa,,1963,1.7175298575239077,176334880
Africa,,1964,1.788904341500462,193639340
Africa,,1965,1.8888065100460745,213634400
Africa,,1966,1.863692486335487,221082100
Africa,,1967,1.9370716019753886,237045200
Africa,,1968,1.9935547400516858,257271420
Africa,,1969,2.0180459589109954,277716580
Africa,,1970,2.029706342043558,302405900
Africa,,1971,2.138923675451395,331612900
Africa,,1972,2.167639536012199,351688000
Africa,,1973,2.211408010875837,377821120
