Entity,Code,Year,Renewables - % electricity,time
Afghanistan,,,84.33735,2022
Albania,,,100,2022
Algeria,DZA,2023,0.8541283,2023
Angola,,,75.02951,2022
Antigua and Barbuda,,,5.5555553,2022
Argentina,ARG,2023,34.699863,2023
Armenia,,,26.567844,2022
Australia,AUS,2023,36.07261,2023
Austria,AUT,2023,84.48328,2023
Azerbaijan,AZE,2023,6.8625536,2023
Bahamas,,,0,2022
Bahrain,,,0.02813731,2022
Bangladesh,BGD,2023,1.5081774,2023
Barbados,,,7.3394494,2022
Belarus,BLR,2023,2.7083464,2023
Belgium,BEL,2023,33.05825,2023
Belize,,,80.64516,2022
Benin,,,1.7699115,2022
Bhutan,,,100,2022
Bolivia,BOL,2023,28.806585,2023
Bosnia and Herzegovina,BIH,2023,40.71006,2023
Botswana,,,0.38022813,2022
Brazil,BRA,2023,88.68169,2023
Brunei,,,0,2022
Bulgaria,BGR,2023,25.906475,2023
Burkina Faso,,,31.168833,2022
Burundi,,,66.666664,2022
Cambodia,,,50.737793,2022
Cameroon,,,62.315273,2022
Canada,CAN,2023,66.13482,2023
Cape Verde,,,16.27907,2022
Central African Republic,,,100,2022
Chad,,,5.714286,2022
Chile,CHL,2023,60.818085,2023
China,CHN,2023,30.6804,2023
Colombia,COL,2023,66.48605,2023
Comoros,,,0,2022
Congo,,,22.5,2022
Costa Rica,CRI,2023,95.74646,2023
Cote d'Ivoire,,,31.02518,2022
Croatia,HRV,2023,68.98996,2023
Cuba,,,4.6600876,2022
Cyprus,CYP,2023,20.222635,2023
Czechia,CZE,2023,14.87267,2023
Democratic Republic of Congo,,,100,2022
Denmark,DNK,2023,87.60036,2023
Djibouti,,,0,2022
Dominica,,,23.529411,2022
Dominican Republic,,,14.206127,2022
East Timor,,,0,2022
Ecuador,ECU,2023,80.83458,2023
Egypt,EGY,2023,11.787243,2023
El Salvador,SLV,2023,63.434906,2023
Equatorial Guinea,,,32.65306,2022
Eritrea,,,2.631579,2022
Estonia,EST,2023,44.290123,2023
Eswatini,,,93.103455,2022
Ethiopia,,,99.93515,2022
Fiji,,,59.615387,2022
Finland,FIN,2023,51.92886,2023
France,FRA,2023,26.290094,2023
