Entity,Code,Year,Solar - % electricity,time
Afghanistan,,,9.638555,2022
Albania,,,0.5714286,2022
Algeria,DZA,2023,0.75544345,2023
Angola,,,0.11806375,2022
Antigua and Barbuda,,,5.5555553,2022
Argentina,ARG,2023,2.1182299,2023
Armenia,,,3.7628276,2022
Australia,AUS,2023,17.065006,2023
Austria,AUT,2023,7.7060933,2023
Azerbaijan,AZE,2023,0.27096665,2023
Bahamas,,,0,2022
Bahrain,,,0.02813731,2022
Bangladesh,BGD,2023,0.8030555,2023
Barbados,,,7.3394494,2022
Belarus,BLR,2023,0.36660004,2023
Belgium,BEL,2023,9.296116,2023
Belize,,,3.2258065,2022
Benin,,,1.7699115,2022
Bhutan,,,0,2022
Bolivia,BOL,2023,2.8806586,2023
Bosnia and Herzegovina,BIH,2023,1.2426035,2023
Botswana,,,0.38022813,2022
Brazil,BRA,2023,7.252026,2023
Brunei,,,0,2022
Bulgaria,BGR,2023,8.8022,2023
Burkina Faso,,,15.584416,2022
Burundi,,,2.7777777,2022
Cambodia,,,4.4267874,2022
Cameroon,,,0.24630542,2022
Canada,CAN,2023,1.1781383,2023
Cape Verde,,,2.3255813,2022
Central African Republic,,,0,2022
Chad,,,0,2022
Chile,CHL,2023,19.913885,2023
China,CHN,2023,6.1752152,2023
Colombia,COL,2023,1.1989855,2023
Comoros,,,0,2022
Congo,,,0,2022
Costa Rica,CRI,2023,0.58381987,2023
Cote d'Ivoire,,,0.17985612,2022
Croatia,HRV,2023,1.1222682,2023
Cuba,,,1.4802632,2022
Cyprus,CYP,2023,15.213359,2023
Czechia,CZE,2023,4.0036755,2023
Democratic Republic of Congo,,,0.09057971,2022
Denmark,DNK,2023,9.277431,2023
Djibouti,,,0,2022
Dominica,,,0,2022
Dominican Republic,,,2.5998142,2022
East Timor,,,0,2022
Ecuador,ECU,2023,0.11922504,2023
Egypt,EGY,2023,2.3236144,2023
El Salvador,SLV,2023,15.373961,2023
Equatorial Guinea,,,0,2022
Eritrea,,,2.631579,2022
Estonia,EST,2023,11.882716,2023
Eswatini,,,0,2022
Ethiopia,,,0.25940338,2022
Fiji,,,0.9615385,2022
Finland,FIN,2023,0.8141283,2023
France,FRA,2023,4.524324,2023
French Guiana,,,5.940594,2021
Gabon,,,0,2022
Gambia,,,0,2022
Georgia,GEO,2023,0,2023
Germany,DEU,2023,12.19517,2023
Ghana,,,0.5777778,2022
Greece,GRC,2023,19.015797,2023
Greenland,,,0,2022
Grenada,,,4,2022
Guatemala,,,1.8237082,2022
Guinea,,,0.65789473,2022
Guinea-Bissau,,,0,2022
Guyana,,,0.877193,2022
Haiti,,,0,2022
Honduras,,,9.90841,2022
Hungary,HUN,2023,18.435755,2023
Iceland,ISL,2023,0.00004468704,2023
India,IND,2023,5.762996,2023
Indonesia,IDN,2023,0.20332336,2023
Iran,IRN,2023,0.20108531,2023
Iraq,IRQ,2023,0.30300757,2023
Ireland,IRL,2023,1.7181039,2023
Israel,ISR,2023,9.734363,2023
Italy,ITA,2023,11.809734,2023
Jamaica,,,3.050109,2022
Japan,JPN,2023,10.790224,2023
Jordan,,,15.409236,2022
Kazakhstan,KAZ,2023,1.6069547,2023
Kenya,KEN,2023,4.0163937,2023
Kiribati,,,0,2022
Kosovo,OWID_KOS,2023,0.3144654,2023
Kuwait,KWT,2023,0.18714224,2023
Kyrgyzstan,,,0,2022
Laos,,,0.13057671,2022
Latvia,LVA,2023,0.64,2023
Lebanon,,,2.9850748,2022
Lesotho,,,0,2022
Liberia,,,0,2022
Libya,,,0.033025097,2022
Lithuania,LTU,2023,11.690648,2023
Luxembourg,LUX,2023,24.561403,2023
Madagascar,,,1.6949153,2022
Malawi,,,12.592592,2022
Malaysia,MYS,2023,1.7244518,2023
Maldives,,,7.058823,2022
Mali,,,0.8,2022
Malta,MLT,2023,20.622566,2023
Mauritania,,,8.235294,2022
Mauritius,,,4.5584044,2022
Mexico,MEX,2023,5.9970565,2023
Moldova,MDA,2023,0.5093379,2023
